script,model,source,score
bit__rd_example__as_bit_Rd,gemma,harness,1.0000
broom__rd_example__tidy_mlm_Rd,gemma,harness,0.4326
crayon__rd_example__combine_styles_Rd,gemma,harness,0.8500
diffobj__rd_example__as_character-DiffSummary-method_Rd,gemma,harness,0.5968
gert__rd_example__git_repo_Rd,gemma,harness,0.5986
ggplot2__rd_example__ggplot_Rd,gemma,harness,0.3892
ggplot2__rd_example__stat_ecdf_Rd,gemma,harness,0.6772
httr2__rd_example__resp_content_type_Rd,gemma,harness,0.8500
tidyr__vignette__programming_s2,gemma,harness,0.0000
vctrs__vignette__s3-vector_s1,gemma,harness,1.0000
bit__rd_example__as_bit_Rd,haiku,harness,1.0000
broom__rd_example__tidy_mlm_Rd,haiku,harness,0.4624
crayon__rd_example__combine_styles_Rd,haiku,harness,0.0000
diffobj__rd_example__as_character-DiffSummary-method_Rd,haiku,harness,0.5889
gert__rd_example__git_repo_Rd,haiku,harness,0.5821
ggplot2__rd_example__ggplot_Rd,haiku,harness,0.1267
ggplot2__rd_example__stat_ecdf_Rd,haiku,harness,0.7106
httr2__rd_example__resp_content_type_Rd,haiku,harness,0.8500
tidyr__vignette__programming_s2,haiku,harness,0.0000
vctrs__vignette__s3-vector_s1,haiku,harness,1.0000
bit__rd_example__as_bit_Rd,sonnet,harness,1.0000
broom__rd_example__tidy_mlm_Rd,sonnet,harness,0.4725
crayon__rd_example__combine_styles_Rd,sonnet,harness,0.8500
diffobj__rd_example__as_character-DiffSummary-method_Rd,sonnet,harness,0.9973
gert__rd_example__git_repo_Rd,sonnet,harness,0.5930
ggplot2__rd_example__ggplot_Rd,sonnet,harness,0.3892
ggplot2__rd_example__stat_ecdf_Rd,sonnet,harness,0.6772
httr2__rd_example__resp_content_type_Rd,sonnet,harness,0.8766
tidyr__vignette__programming_s2,sonnet,harness,0.7103
vctrs__vignette__s3-vector_s1,sonnet,harness,1.0000
bit__rd_example__as_bit_Rd,opus,harness,1.0000
broom__rd_example__tidy_mlm_Rd,opus,harness,0.5407
crayon__rd_example__combine_styles_Rd,opus,harness,0.8500
diffobj__rd_example__as_character-DiffSummary-method_Rd,opus,harness,1.0000
gert__rd_example__git_repo_Rd,opus,harness,0.5957
ggplot2__rd_example__ggplot_Rd,opus,harness,0.1614
ggplot2__rd_example__stat_ecdf_Rd,opus,harness,0.7106
httr2__rd_example__resp_content_type_Rd,opus,harness,0.8500
tidyr__vignette__programming_s2,opus,harness,1.0000
vctrs__vignette__s3-vector_s1,opus,harness,1.0000
bit__rd_example__as_bit_Rd,haiku,claude_code,1.0000
broom__rd_example__tidy_mlm_Rd,haiku,claude_code,0.0000
crayon__rd_example__combine_styles_Rd,haiku,claude_code,0.8500
diffobj__rd_example__as_character-DiffSummary-method_Rd,haiku,claude_code,0.8000
gert__rd_example__git_repo_Rd,haiku,claude_code,0.5800
ggplot2__rd_example__ggplot_Rd,haiku,claude_code,0.1540
ggplot2__rd_example__stat_ecdf_Rd,haiku,claude_code,0.6675
httr2__rd_example__resp_content_type_Rd,haiku,claude_code,0.6900
tidyr__vignette__programming_s2,haiku,claude_code,0.0000
vctrs__vignette__s3-vector_s1,haiku,claude_code,1.0000
bit__rd_example__as_bit_Rd,sonnet,claude_code,1.0000
broom__rd_example__tidy_mlm_Rd,sonnet,claude_code,0.5250
crayon__rd_example__combine_styles_Rd,sonnet,claude_code,0.8500
diffobj__rd_example__as_character-DiffSummary-method_Rd,sonnet,claude_code,0.8000
gert__rd_example__git_repo_Rd,sonnet,claude_code,0.5800
ggplot2__rd_example__ggplot_Rd,sonnet,claude_code,0.1614
ggplot2__rd_example__stat_ecdf_Rd,sonnet,claude_code,0.7106
httr2__rd_example__resp_content_type_Rd,sonnet,claude_code,0.7137
tidyr__vignette__programming_s2,sonnet,claude_code,0.0000
vctrs__vignette__s3-vector_s1,sonnet,claude_code,1.0000
bit__rd_example__as_bit_Rd,opus,claude_code,1.0000
broom__rd_example__tidy_mlm_Rd,opus,claude_code,0.9000
crayon__rd_example__combine_styles_Rd,opus,claude_code,0.8500
diffobj__rd_example__as_character-DiffSummary-method_Rd,opus,claude_code,0.8000
gert__rd_example__git_repo_Rd,opus,claude_code,0.5800
ggplot2__rd_example__ggplot_Rd,opus,claude_code,0.1614
ggplot2__rd_example__stat_ecdf_Rd,opus,claude_code,0.6772
httr2__rd_example__resp_content_type_Rd,opus,claude_code,0.6900
tidyr__vignette__programming_s2,opus,claude_code,0.6000
vctrs__vignette__s3-vector_s1,opus,claude_code,1.0000
